epoch 9 ......
progress: 10%   train loss: 0.6027807153639246   train time: 22s
progress: 19%   train loss: 0.6060574904453656   train time: 34s
progress: 29%   train loss: 0.6085051360709891   train time: 46s
progress: 39%   train loss: 0.6092327825755994   train time: 50s
progress: 48%   train loss: 0.6115042578144327   train time: 58s
progress: 58%   train loss: 0.6163454811989105   train time: 71s
progress: 67%   train loss: 0.61976877138054   train time: 90s
progress: 77%   train loss: 0.6215120895984515   train time: 108s
progress: 87%   train loss: 0.6245055377152843   train time: 113s
progress: 96%   train loss: 0.6279236197273267   train time: 117s
progress: 100%   train loss: 0.625713739824295   train time: 119s
test loss: 0.9672634629976182   acc: 64.23611111111111%   MAE: 0.4885912698412698   RMSE: 0.9052089361232742
